"ITTER107","Territorio","TIPO_DATO4","Tipo dato","DISPONIBILITA","Disponibilità","SETTORE_USO","Settore uso","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","CONS_INT_LORDO","consumo interno lordo (tonnellate equivalenti di petrolio - valori espressi in milioni)","1","produzione","9","totale","2015","2015",42.1,,
"IT","Italia","CONS_INT_LORDO","consumo interno lordo (tonnellate equivalenti di petrolio - valori espressi in milioni)","1","produzione","9","totale","2016","2016",39.15,,
"IT","Italia","CONS_INT_LORDO","consumo interno lordo (tonnellate equivalenti di petrolio - valori espressi in milioni)","1","produzione","9","totale","2017","2017",39.15,,
"IT","Italia","CONS_INT_LORDO","consumo interno lordo (tonnellate equivalenti di petrolio - valori espressi in milioni)","1","produzione","9","totale","2018","2018",41.57,,
"IT","Italia","CONS_INT_LORDO","consumo interno lordo (tonnellate equivalenti di petrolio - valori espressi in milioni)","1","produzione","9","totale","2019","2019",42.59,,
"IT","Italia","CONS_INT_LORDO","consumo interno lordo (tonnellate equivalenti di petrolio - valori espressi in milioni)","2","importazione","9","totale","2015","2015",156.83,,
"IT","Italia","CONS_INT_LORDO","consumo interno lordo (tonnellate equivalenti di petrolio - valori espressi in milioni)","2","importazione","9","totale","2016","2016",157.93,,
"IT","Italia","CONS_INT_LORDO","consumo interno lordo (tonnellate equivalenti di petrolio - valori espressi in milioni)","2","importazione","9","totale","2017","2017",163.46,,
"IT","Italia","CONS_INT_LORDO","consumo interno lordo (tonnellate equivalenti di petrolio - valori espressi in milioni)","2","importazione","9","totale","2018","2018",158.62,,
"IT","Italia","CONS_INT_LORDO","consumo interno lordo (tonnellate equivalenti di petrolio - valori espressi in milioni)","2","importazione","9","totale","2019","2019",156.89,,
"IT","Italia","CONS_INT_LORDO","consumo interno lordo (tonnellate equivalenti di petrolio - valori espressi in milioni)","3","esportazione","9","totale","2015","2015",29.02,,
"IT","Italia","CONS_INT_LORDO","consumo interno lordo (tonnellate equivalenti di petrolio - valori espressi in milioni)","3","esportazione","9","totale","2016","2016",30.99,,
"IT","Italia","CONS_INT_LORDO","consumo interno lordo (tonnellate equivalenti di petrolio - valori espressi in milioni)","3","esportazione","9","totale","2017","2017",33.94,,
"IT","Italia","CONS_INT_LORDO","consumo interno lordo (tonnellate equivalenti di petrolio - valori espressi in milioni)","3","esportazione","9","totale","2018","2018",30.39,,
"IT","Italia","CONS_INT_LORDO","consumo interno lordo (tonnellate equivalenti di petrolio - valori espressi in milioni)","3","esportazione","9","totale","2019","2019",29.95,,
"IT","Italia","CONS_INT_LORDO","consumo interno lordo (tonnellate equivalenti di petrolio - valori espressi in milioni)","4","variazione delle scorte","9","totale","2015","2015",0.08,,
"IT","Italia","CONS_INT_LORDO","consumo interno lordo (tonnellate equivalenti di petrolio - valori espressi in milioni)","4","variazione delle scorte","9","totale","2016","2016",-1.55,,
"IT","Italia","CONS_INT_LORDO","consumo interno lordo (tonnellate equivalenti di petrolio - valori espressi in milioni)","4","variazione delle scorte","9","totale","2017","2017",-1,,
"IT","Italia","CONS_INT_LORDO","consumo interno lordo (tonnellate equivalenti di petrolio - valori espressi in milioni)","4","variazione delle scorte","9","totale","2018","2018",-1.43,,
"IT","Italia","CONS_INT_LORDO","consumo interno lordo (tonnellate equivalenti di petrolio - valori espressi in milioni)","4","variazione delle scorte","9","totale","2019","2019",0.45,,
"IT","Italia","CONS_INT_LORDO","consumo interno lordo (tonnellate equivalenti di petrolio - valori espressi in milioni)","5","consumo interno lordo","9","totale","2015","2015",169.82,,
"IT","Italia","CONS_INT_LORDO","consumo interno lordo (tonnellate equivalenti di petrolio - valori espressi in milioni)","5","consumo interno lordo","9","totale","2016","2016",167.63,,
"IT","Italia","CONS_INT_LORDO","consumo interno lordo (tonnellate equivalenti di petrolio - valori espressi in milioni)","5","consumo interno lordo","9","totale","2017","2017",169.67,,
"IT","Italia","CONS_INT_LORDO","consumo interno lordo (tonnellate equivalenti di petrolio - valori espressi in milioni)","5","consumo interno lordo","9","totale","2018","2018",171.23,,
"IT","Italia","CONS_INT_LORDO","consumo interno lordo (tonnellate equivalenti di petrolio - valori espressi in milioni)","5","consumo interno lordo","9","totale","2019","2019",169.08,,
